Control ID,Title,Theme,SoA Status,Audit Result,Risk/POA Link,Owner,Target Date,Notes
5.1,Policies for information security,Organizational,Yes,Pass,,,,
5.2,Information security roles and responsibilities,Organizational,Yes,,,,,
5.3,Segregation of duties,Organizational,Partial,,,IT Security Lead,TBD next cycle,
5.4,Management responsibilities,Organizational,Yes,,,,,
5.5,Contact with authorities,Organizational,Partial,,,IT Security Lead,TBD next cycle,
5.6,Contact with special interest groups,Organizational,No,,,IT Security Lead,TBD next cycle,
5.7,Threat intelligence,Organizational,Partial,,,IT Security Lead,TBD next cycle,
5.8,Information security in project management,Organizational,Partial,,,IT Security Lead,TBD next cycle,
5.9,Inventory of information and other associated assets,Organizational,Yes,,,,,
5.10,Acceptable use of information and other associated assets,Organizational,Partial,,,IT Security Lead,TBD next cycle,
5.11,Return of assets,Organizational,Yes,,,,,
5.12,Classification of information,Organizational,No,,,IT Security Lead,90 days,
5.13,Labelling of information,Organizational,No,,,IT Security Lead,90 days,
5.14,Information transfer,Organizational,Partial,,,IT Security Lead,TBD next cycle,
5.15,Access control,Organizational,Yes,,,,,
5.16,Identity management,Organizational,Yes,,,,,
5.17,Authentication information,Organizational,Yes,,,,,
5.18,Access rights,Organizational,Yes,Pass,,,,
5.19,Information security in supplier relationships,Organizational,No,,,Procurement,90 days,
5.20,Addressing information security within supplier agreements,Organizational,No,,,Procurement,90 days,
5.21,Managing information security in the ICT supply chain,Organizational,Partial,,,IT Security Lead,TBD next cycle,
5.22,"Monitoring, review and change management of supplier services",Organizational,No,,,Procurement,90 days,
5.23,Information security for use of cloud services,Organizational,Partial,,,IT Security Lead,TBD next cycle,
5.24,Information security incident management planning and preparation,Organizational,Yes,Pass,,,,
5.25,Assessment and decision on information security events,Organizational,Yes,,,,,
5.26,Response to information security incidents,Organizational,Yes,,,,,
5.27,Learning from information security incidents,Organizational,Yes,,,,,
5.28,Collection of evidence,Organizational,Partial,,,IT Security Lead,TBD next cycle,
5.29,Information security during disruption,Organizational,No,,,IT Security Lead,TBD next cycle,
5.30,ICT readiness for business continuity,Organizational,No,,,CTO,90 days,
5.31,"Legal, statutory, regulatory and contractual requirements",Organizational,Partial,,,IT Security Lead,TBD next cycle,
5.32,Intellectual property rights,Organizational,Partial,,,IT Security Lead,TBD next cycle,
5.33,Protection of records,Organizational,Partial,,,IT Security Lead,TBD next cycle,
5.34,Privacy and protection of PII,Organizational,Partial,,,IT Security Lead,TBD next cycle,
5.35,Independent review of information security,Organizational,No,,,IT Security Lead,TBD next cycle,
5.36,"Compliance with policies, rules and standards for information security",Organizational,Yes,Observation,POA-12,See POA&M,See POA&M,Linked to POA-12
5.37,Documented operating procedures,Organizational,Partial,,,IT Security Lead,TBD next cycle,
6.1,Screening,People,No,,,HR,90 days,
